TPXC30 Index,,,7203 JT Equity,,,7267 JT Equity,,,6758 JT Equity,,,7201 JT Equity,,,6752 JT Equity,,,6902 JT Equity,,,9984 JT Equity,,,9432 JT Equity,,,9433 JT Equity,,,9437 JT Equity,,,8306 JT Equity,,,8316 JT Equity,,,8411 JT Equity,,,8766 JT Equity,,,8604 JT Equity,,,6954 JT Equity,,,9020 JT Equity,,,8058 JT Equity,,,9022 JT Equity,,,8031 JT Equity,,,2914 JT Equity,,,3382 JT Equity,,,7751 JT Equity,,,6981 JT Equity,,,6501 JT Equity,,,4502 JT Equity,,,4503 JT Equity,,,8802 JT Equity,,,8801 JT Equity,,,4063 JT Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2013/01/04,475.68,,2013/01/04,4260,,2013/01/04,3270,,2013/01/04,968,,2013/01/04,854,,2013/01/04,537,,2013/01/04,3085,,2013/01/04,3125,,2013/01/04,1842.5,,2013/01/04,1031.7,,2013/01/04,1270,,2013/01/04,484,,2013/01/04,3225,,2013/01/04,163,,2013/01/04,2482,,2013/01/04,524,,2013/01/04,16540,,2013/01/04,5600,,2013/01/04,1710,,2013/01/04,7100,,2013/01/04,1335,,2013/01/04,2521,,2013/01/04,2491,,2013/01/04,3420,,2013/01/04,5240,,2013/01/04,530,,2013/01/04,3975,,2013/01/04,806,,2013/01/04,2111,,2013/01/04,2115,,2013/01/04,5400
2013/1/7,471.58,,2013/1/7,4185,,2013/1/7,3230,,2013/1/7,957,,2013/1/7,851,,2013/1/7,535,,2013/1/7,3075,,2013/1/7,3065,,2013/1/7,1855,,2013/1/7,1028.3,,2013/1/7,1268,,2013/1/7,476,,2013/1/7,3190,,2013/1/7,162,,2013/1/7,2471,,2013/1/7,498,,2013/1/7,15910,,2013/1/7,5650,,2013/1/7,1691,,2013/1/7,7130,,2013/1/7,1338,,2013/1/7,2593,,2013/1/7,2617,,2013/1/7,3330,,2013/1/7,5010,,2013/1/7,526,,2013/1/7,3990,,2013/1/7,810,,2013/1/7,2100,,2013/1/7,2119,,2013/1/7,5270
2013/1/8,466.42,,2013/1/8,4100,,2013/1/8,3200,,2013/1/8,940,,2013/1/8,842,,2013/1/8,520,,2013/1/8,3010,,2013/1/8,3105,,2013/1/8,1847.5,,2013/1/8,1038.3,,2013/1/8,1272,,2013/1/8,462,,2013/1/8,3150,,2013/1/8,161,,2013/1/8,2417,,2013/1/8,483,,2013/1/8,15700,,2013/1/8,5730,,2013/1/8,1687,,2013/1/8,7240,,2013/1/8,1335,,2013/1/8,2608,,2013/1/8,2602,,2013/1/8,3325,,2013/1/8,4870,,2013/1/8,521,,2013/1/8,4005,,2013/1/8,814,,2013/1/8,2006,,2013/1/8,2041,,2013/1/8,5290
2013/1/9,470.46,,2013/1/9,4165,,2013/1/9,3250,,2013/1/9,936,,2013/1/9,847,,2013/1/9,519,,2013/1/9,3030,,2013/1/9,3040,,2013/1/9,1840,,2013/1/9,1051.7,,2013/1/9,1260,,2013/1/9,469,,2013/1/9,3185,,2013/1/9,163,,2013/1/9,2457,,2013/1/9,500,,2013/1/9,15860,,2013/1/9,5720,,2013/1/9,1717,,2013/1/9,7190,,2013/1/9,1352,,2013/1/9,2571,,2013/1/9,2649,,2013/1/9,3285,,2013/1/9,4920,,2013/1/9,540,,2013/1/9,4025,,2013/1/9,814,,2013/1/9,2072,,2013/1/9,2097,,2013/1/9,5270
2013/1/10,476.58,,2013/1/10,4205,,2013/1/10,3330,,2013/1/10,968,,2013/1/10,854,,2013/1/10,529,,2013/1/10,3095,,2013/1/10,3040,,2013/1/10,1855,,2013/1/10,1033.3,,2013/1/10,1269,,2013/1/10,474,,2013/1/10,3285,,2013/1/10,167,,2013/1/10,2582,,2013/1/10,493,,2013/1/10,15860,,2013/1/10,5750,,2013/1/10,1742,,2013/1/10,7150,,2013/1/10,1370,,2013/1/10,2626,,2013/1/10,2620,,2013/1/10,3295,,2013/1/10,5130,,2013/1/10,538,,2013/1/10,4140,,2013/1/10,823,,2013/1/10,2079,,2013/1/10,2067,,2013/1/10,5380
2013/1/11,482.29,,2013/1/11,4260,,2013/1/11,3380,,2013/1/11,983,,2013/1/11,873,,2013/1/11,551,,2013/1/11,3180,,2013/1/11,3020,,2013/1/11,1862.5,,2013/1/11,1016.7,,2013/1/11,1285,,2013/1/11,479,,2013/1/11,3330,,2013/1/11,169,,2013/1/11,2687,,2013/1/11,490,,2013/1/11,15630,,2013/1/11,5790,,2013/1/11,1761,,2013/1/11,7260,,2013/1/11,1366,,2013/1/11,2649,,2013/1/11,2614,,2013/1/11,3370,,2013/1/11,5250,,2013/1/11,539,,2013/1/11,4270,,2013/1/11,884,,2013/1/11,2104,,2013/1/11,2067,,2013/1/11,5450
2013/1/15,485,,2013/1/15,4265,,2013/1/15,3380,,2013/1/15,995,,2013/1/15,883,,2013/1/15,566,,2013/1/15,3215,,2013/1/15,3035,,2013/1/15,1897.5,,2013/1/15,1021.7,,2013/1/15,1299,,2013/1/15,483,,2013/1/15,3335,,2013/1/15,169,,2013/1/15,2630,,2013/1/15,494,,2013/1/15,15100,,2013/1/15,5890,,2013/1/15,1768,,2013/1/15,7370,,2013/1/15,1365,,2013/1/15,2665,,2013/1/15,2640,,2013/1/15,3390,,2013/1/15,5270,,2013/1/15,544,,2013/1/15,4380,,2013/1/15,889,,2013/1/15,2142,,2013/1/15,2112,,2013/1/15,5510
2013/1/16,473.3,,2013/1/16,4155,,2013/1/16,3280,,2013/1/16,969,,2013/1/16,866,,2013/1/16,562,,2013/1/16,3135,,2013/1/16,2936,,2013/1/16,1870,,2013/1/16,1015,,2013/1/16,1280,,2013/1/16,469,,2013/1/16,3235,,2013/1/16,165,,2013/1/16,2553,,2013/1/16,480,,2013/1/16,14450,,2013/1/16,5880,,2013/1/16,1735,,2013/1/16,7450,,2013/1/16,1334,,2013/1/16,2656,,2013/1/16,2650,,2013/1/16,3250,,2013/1/16,5210,,2013/1/16,528,,2013/1/16,4325,,2013/1/16,871,,2013/1/16,2069,,2013/1/16,2019,,2013/1/16,5390
2013/1/17,477.72,,2013/1/17,4210,,2013/1/17,3335,,2013/1/17,1024,,2013/1/17,868,,2013/1/17,564,,2013/1/17,3215,,2013/1/17,2997,,2013/1/17,1887.5,,2013/1/17,1030,,2013/1/17,1307,,2013/1/17,471,,2013/1/17,3240,,2013/1/17,167,,2013/1/17,2579,,2013/1/17,480,,2013/1/17,14670,,2013/1/17,5890,,2013/1/17,1755,,2013/1/17,7480,,2013/1/17,1319,,2013/1/17,2726,,2013/1/17,2667,,2013/1/17,3255,,2013/1/17,5250,,2013/1/17,528,,2013/1/17,4395,,2013/1/17,884,,2013/1/17,2027,,2013/1/17,1961,,2013/1/17,5420
2013/1/18,489.63,,2013/1/18,4300,,2013/1/18,3440,,2013/1/18,1149,,2013/1/18,878,,2013/1/18,594,,2013/1/18,3360,,2013/1/18,3020,,2013/1/18,1895,,2013/1/18,1035,,2013/1/18,1318,,2013/1/18,484,,2013/1/18,3315,,2013/1/18,173,,2013/1/18,2716,,2013/1/18,491,,2013/1/18,14930,,2013/1/18,5910,,2013/1/18,1814,,2013/1/18,7490,,2013/1/18,1340,,2013/1/18,2735,,2013/1/18,2675,,2013/1/18,3350,,2013/1/18,5400,,2013/1/18,550,,2013/1/18,4450,,2013/1/18,890,,2013/1/18,2086,,2013/1/18,1995,,2013/1/18,5630
